Cluster,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
M0,GO:0042448,progesterone metabolic process,2/51,17/18805,0.11764705882352941,43.37946943483276,9.115971394426015,9.555253979140153e-4,0.01825248515199017,0.011967160192994005,174/1958,2
M0,GO:0051962,positive regulation of nervous system development,5/51,285/18805,0.017543859649122806,6.468868249054007,4.851350506094178,0.0010256951892274365,0.0193949635781188,0.012716221059427869,23767/3280/3398/3400/4747,5
M0,GO:0045475,locomotor rhythm,2/51,18/18805,0.1111111111111111,40.96949891067538,8.84707057958289,0.001073103521719295,0.0198896019075101,0.013040528466125044,1958/3398,2
M0,GO:1901018,positive regulation of potassium ion transmembrane transporter activity,2/51,18/18805,0.1111111111111111,40.96949891067538,8.84707057958289,0.001073103521719295,0.0198896019075101,0.013040528466125044,481/486,2
M0,GO:0003281,ventricular septum development,3/51,75/18805,0.04,14.749019607843138,6.2215232409710595,0.0011058789495193117,0.02009908149029273,0.013177872816959812,10370/3280/7849,3
M0,GO:0032411,positive regulation of transporter activity,3/51,75/18805,0.04,14.749019607843138,6.2215232409710595,0.0011058789495193117,0.02009908149029273,0.013177872816959812,288/481/486,3
M0,GO:1902893,regulation of miRNA transcription,3/51,76/18805,0.039473684210526314,14.554953560371516,6.174627869519987,0.0011491355891379553,0.020562345131299783,0.013481609549648868,1958/2353/3725,3
M0,GO:0043409,negative regulation of MAPK cascade,4/51,171/18805,0.023391812865497075,8.625157665405343,5.223445780899948,0.0011824093718000252,0.020562345131299783,0.013481609549648868,348/1601/7430/2950,4
M0,GO:0061614,miRNA transcription,3/51,77/18805,0.03896103896103896,14.365928189457602,6.128610757909398,0.0011934474697151256,0.020562345131299783,0.013481609549648868,1958/2353/3725,3
M0,GO:0090083,regulation of inclusion body assembly,2/51,19/18805,0.10526315789473684,38.81320949432404,8.599366045060282,0.001197273300914357,0.020562345131299783,0.013481609549648868,348/1191,2
M0,GO:1905906,regulation of amyloid fibril formation,2/51,19/18805,0.10526315789473684,38.81320949432404,8.599366045060282,0.001197273300914357,0.020562345131299783,0.013481609549648868,348/1191,2
M0,GO:2000641,regulation of early endosome to late endosome transport,2/51,19/18805,0.10526315789473684,38.81320949432404,8.599366045060282,0.001197273300914357,0.020562345131299783,0.013481609549648868,1601/7430,2
M0,GO:0070372,regulation of ERK1 and ERK2 cascade,5/51,296/18805,0.016891891891891893,6.2284711181770005,4.728161960386161,0.0012137344821436078,0.020655554096116673,0.013542721590233939,348/1601/7430/2244/2950,5
M0,GO:0070373,negative regulation of ERK1 and ERK2 cascade,3/51,78/18805,0.038461538461538464,14.181749622926095,6.0834439058432785,0.001238824400191405,0.020892606100525315,0.01369814367589548,1601/7430/2950,3
M0,GO:0048562,embryonic organ morphogenesis,5/51,302/18805,0.016556291390728478,6.104726658875471,4.663566162869627,0.0013264896299775512,0.021144274266831263,0.013863148782684015,10370/3280/3398/4646/7849,5
M0,GO:0043691,reverse cholesterol transport,2/51,20/18805,0.1,36.872549019607845,8.370181768667718,0.0013279995329274993,0.021144274266831263,0.013863148782684015,348/1191,2
M0,GO:1900221,regulation of amyloid-beta clearance,2/51,20/18805,0.1,36.872549019607845,8.370181768667718,0.0013279995329274993,0.021144274266831263,0.013863148782684015,348/1191,2
M0,GO:0048732,gland development,6/51,451/18805,0.013303769401330377,4.905438893961132,4.377800915858326,0.0013298929602653718,0.021144274266831263,0.013863148782684015,10370/3280/3398/3400/7849/57142,6
M0,GO:0002028,regulation of sodium ion transport,3/51,80/18805,0.0375,13.827205882352942,5.995555108743149,0.0013328121599818852,0.021144274266831263,0.013863148782684015,288/481/486,3
M0,GO:0035914,skeletal muscle cell differentiation,3/51,80/18805,0.0375,13.827205882352942,5.995555108743149,0.0013328121599818852,0.021144274266831263,0.013863148782684015,10370/1958/2353,3
